zipcode,lat,lon,population,land,density
1890,42.454545,-71.148779,21382,15.62021829,1368.866913
1901,42.461246,-70.946743,1689,0.642317051,2629.542524
1902,42.473195,-70.928593,45139,6.223741428,7252.711334
1904,42.488896,-70.964694,18203,11.70933625,1554.571465
1905,42.469395,-70.972844,25251,9.220357672,2738.613934
1906,42.472112,-70.997794,26660,27.98741152,952.5711223
1907,42.513295,-70.905893,14027,7.863203902,1783.878451
1908,42.427296,-70.922442,3410,2.709127563,1258.707802
1913,42.853539,-70.948211,16283,31.76102419,512.6723843
1915,42.565145,-70.853843,39502,39.09069054,1010.521929
1921,42.683256,-71.017403,7961,61.00975992,130.4873189
1922,42.763216,-70.92812,3108,24.832806,125.1570201
1923,42.577188,-70.949245,26342,34.19561302,770.3327321
1929,42.62781,-70.780576,3504,36.18731387,96.82951358
1930,42.630011,-70.694179,28789,67.83955857,424.368917
1937,42.635443,-70.879123,151,0.189069132,798.6496705
1938,42.68571,-70.864132,13175,78.81851816,167.1561494
1940,42.533732,-71.028775,12108,27.31919458,443.2048669
1944,42.579503,-70.755062,5136,23.90300027,214.8684242
1945,42.56142,-70.770768,19808,11.35968785,1743.709885
1949,42.644942,-71.087905,8987,34.84570003,257.9084361
1950,42.80965,-70.873196,17416,21.62122074,805.5049346
1951,42.777524,-70.867246,3558,35.65118633,99.80032548
1952,42.851234,-70.865667,8283,39.89617685,207.6138782
1960,42.536996,-70.973646,50944,41.4320398,1229.579819
1966,42.657866,-70.618057,6952,18.10919687,383.8933362
1969,42.716155,-70.892754,5856,45.30407202,129.259904
1970,42.512946,-70.904237,41109,21.00221358,1957.365105
1982,42.626664,-70.851125,7764,36.73898134,211.3286683
1983,42.661793,-70.954487,6089,30.88042824,197.179908
1984,42.597691,-70.8732,4875,19.83930892,245.724285
1985,42.79414,-70.971068,4235,34.83793007,121.5629055
2019,42.076501,-71.470464,16332,47.52369183,343.6601697
2021,42.179146,-71.121185,21561,48.6840065,442.8764506
2025,42.233938,-70.815826,7542,25.35339361,297.4749699
2026,42.244733,-71.181141,24711,26.5318382,931.3715776
2030,42.236114,-71.283072,5589,39.15803024,142.7293448
2032,42.153786,-71.21455,4226,6.060572177,697.2938984
2035,42.062204,-71.235774,16865,51.40608401,328.0740077
2038,42.08868,-71.404814,31635,68.96102342,458.7373915
2043,42.212105,-70.884989,22157,57.38636655,386.1021586
2045,42.284413,-70.873659,10293,6.884188396,1495.165357
2047,42.142836,-70.69353,180,0.619007158,290.7882366
2048,42.013182,-71.218373,23184,52.061351,445.3207524
2050,42.111805,-70.710744,25429,75.31426425,337.6385636
2052,42.181265,-71.309934,12024,37.30100876,322.3505315
2053,42.156282,-71.427663,12752,29.89623275,426.5420364
2054,42.165249,-71.36126,7891,31.13683706,253.4297233
2056,42.117511,-71.331793,10981,38.51053321,285.1427671
2061,42.154145,-70.823035,10506,54.23694101,193.7056147
2062,42.182798,-71.196277,28602,26.82709684,1066.160836
2066,42.207254,-70.770188,17656,43.84072874,402.7305318
2067,42.105288,-71.184785,17486,58.72021043,297.7850364
2071,42.100399,-71.270933,1707,2.512288467,679.4601904
2072,42.118416,-71.105733,26999,41.68067865,647.7581669
2081,42.148624,-71.255533,18472,46.41258693,397.995484
2090,42.220548,-71.199238,14636,28.21792046,518.6774845
2093,42.054311,-71.371169,10955,56.21828192,194.8654357
2108,42.353806,-71.102446,3825,0.354828371,10779.85954
2109,42.360027,-71.054495,3771,0.450657931,8367.765747
2110,42.352847,-71.051466,1733,0.476557812,3636.494787
2111,42.351047,-71.059365,7383,0.69929679,10557.74903
2113,42.365398,-71.055001,6915,0.258998811,26698.96427
2114,42.362097,-71.023661,11999,1.16549465,10295.19956
2115,42.342043,-71.096848,28441,1.83630157,15488.19675
2116,42.347207,-71.086095,20628,1.634282497,12622.05282
2118,42.336162,-71.072854,26498,2.838626969,9334.794707
2119,42.323077,-71.084608,25346,4.138801,6123.995815
2120,42.332484,-71.096416,15181,1.608382616,9438.674508
2121,42.307098,-71.081645,25978,4.519529252,5747.943768
2122,42.29658,-71.055215,23479,5.270625804,4454.689229
2124,42.286784,-71.071045,47783,7.777734294,6143.562918
2125,42.31476,-71.067244,33295,5.521854651,6029.677003
2126,42.301247,-71.105195,25562,5.392355245,4740.414687
2127,42.329023,-71.020343,31799,5.239545947,6069.037341
2128,42.364197,-71.025694,40508,12.56403232,3224.124148
2129,42.382588,-71.065287,16439,3.501663925,4694.625285
2130,42.309661,-71.121097,35401,8.635020359,4099.700815
2131,42.284197,-71.120896,29826,6.713249181,4442.856089
2132,42.277897,-71.155833,25861,11.81293577,2189.210244
2134,42.357169,-71.112646,21503,3.434324234,6261.202652
2135,42.349768,-71.104888,42780,6.82461867,6268.482104
2136,42.254248,-71.129321,28488,11.88804542,2396.356927
2138,42.380442,-71.132947,36314,7.096567421,5117.12182
2139,42.365146,-71.101842,36349,4.035201475,9007.976484
2140,42.393246,-71.133833,17607,2.988846279,5890.901825
2141,42.368673,-71.083596,11910,1.662772367,7162.736307
2142,42.36284,-71.084814,3141,0.720016695,4362.398849
2143,42.38092,-71.098896,24514,3.996351654,6134.094825
2144,42.402696,-71.12022,23891,2.802367135,8525.292672
2145,42.391046,-71.095146,25439,3.615623402,7035.85445
2148,42.436545,-71.085396,59503,13.06649001,4553.862585
2149,42.407396,-71.051183,41550,8.873299265,4682.587475
2150,42.378197,-71.038894,35124,5.718693747,6141.962055
2151,42.366303,-71.020494,51808,15.1825103,3412.34743
